,proximity_mode,average_degree,mean_shortest_path,median_shortest_path,num_nodes,dim,K_mean,K_median,K_smallworld,S_general,Predicted_S,Predicted_S_bipartite,Corrected_Predicted_S
104,epsilon_bipartite,7.2803,16.0263,16,1998,2,0.3585,0.3579,0.4742,0.9674090905319204,1.096722617620335,0.7754999999999999,0.7754999999999999
105,epsilon_bipartite,14.2321,10.2061,10,1999,2,0.2283,0.2237,0.7447,0.8611680633110205,1.096722617620335,0.7754999999999999,0.7754999999999999
106,epsilon_bipartite,10.667,12.2802,12,2000,2,0.2746,0.2683,0.619,0.896833019444166,1.096722617620335,0.7754999999999999,0.7754999999999999
107,epsilon_bipartite,7.2244,19.6278,19,2994,2,0.3587,0.3472,0.4078,0.9641544676510165,1.096722617620335,0.7754999999999999,0.7754999999999999
108,epsilon_bipartite,10.9253,14.7699,15,3000,2,0.2697,0.2739,0.5421,0.8913199210801647,1.096722617620335,0.7754999999999999,0.7754999999999999
109,epsilon_bipartite,14.306,12.342,12,3000,2,0.2253,0.2191,0.6487,0.8522833908554126,1.096722617620335,0.7754999999999999,0.7754999999999999
110,epsilon_bipartite,18.5371,3.7004,4,499,3,0.4665,0.5043,1.6789,1.234702766787778,1.4000714267493641,1.111237427826279,1.111237427826279
111,epsilon_bipartite,9.552,5.0008,5,500,3,0.6301,0.63,1.2427,1.3368445884765452,1.4000714267493641,1.111237427826279,1.111237427826279
112,epsilon_bipartite,14.028,4.1461,4,500,3,0.5224,0.504,1.4989,1.2598389281303983,1.4000714267493641,1.111237427826279,1.111237427826279
113,epsilon_bipartite,10.4534,6.0309,6,997,3,0.6037,0.6006,1.1449,1.319986828484316,1.4000714267493641,1.111237427826279,1.111237427826279
114,epsilon_bipartite,14.862,5.056,5,1000,3,0.5056,0.5,1.3662,1.243081159652962,1.4000714267493641,1.111237427826279,1.111237427826279
115,epsilon_bipartite,20.104,4.4722,4,1000,3,0.4472,0.4,1.5446,1.2160423756400214,1.4000714267493641,1.111237427826279,1.111237427826279
116,epsilon_bipartite,11.03,7.3062,7,1998,3,0.5801,0.5558,1.0402,1.2912734828767396,1.4000714267493641,1.111237427826279,1.111237427826279
117,epsilon_bipartite,15.922,6.1383,6,2000,3,0.4872,0.4762,1.2383,1.2256618019018286,1.4000714267493641,1.111237427826279,1.111237427826279
118,epsilon_bipartite,20.804,5.4352,5,2000,3,0.4314,0.3969,1.3985,1.1864637652230798,1.4000714267493641,1.111237427826279,1.111237427826279
119,epsilon_bipartite,11.2164,8.1681,8,2999,3,0.5664,0.5548,0.9802,1.2678855543269174,1.4000714267493641,1.111237427826279,1.111237427826279
120,epsilon_bipartite,16.716,6.7419,7,3000,3,0.4675,0.4854,1.1876,1.1952332762933258,1.4000714267493641,1.111237427826279,1.111237427826279
121,epsilon_bipartite,21.674,6.0809,6,3000,3,0.4216,0.416,1.3166,1.1755482689306909,1.4000714267493641,1.111237427826279,1.111237427826279
122,experimental,2.2375,9.46,9,160,2,0.7479,0.7115,0.5365,1.1186974987680987,1.096722617620335,0.7754999999999999,1.096722617620335
123,experimental,2.4109,9.1362,9,331,2,0.5022,0.4947,0.6351,0.7797245343928372,1.096722617620335,0.7754999999999999,1.096722617620335
124,experimental,2.5777,13.8685,12,2053,2,0.3061,0.2648,0.55,0.4914181605225743,1.096722617620335,0.7754999999999999,1.096722617620335
125,knn,2.5781,17.6223,16,128,2,1.5576,1.4142,0.2753,2.5009642569157022,1.096722617620335,0.7754999999999999,1.096722617620335
126,knn,3.7204,20.7729,21,465,2,0.9633,0.9739,0.2957,1.8580845485554653,1.096722617620335,0.7754999999999999,1.096722617620335
127,knn,15.968,6.2857,6,500,2,0.2811,0.2683,0.9887,1.1232952159217275,1.096722617620335,0.7754999999999999,1.096722617620335
128,knn,21.464,5.3886,5,500,2,0.241,0.2236,1.1533,1.1164679859104245,1.096722617620335,0.7754999999999999,1.096722617620335
129,knn,27.156,4.7205,5,500,2,0.2111,0.2236,1.3165,1.100109461380094,1.096722617620335,0.7754999999999999,1.096722617620335
130,knn,32.732,4.2819,4,500,2,0.1915,0.1789,1.4514,1.0955640923382985,1.096722617620335,0.7754999999999999,1.096722617620335
131,knn,38.572,3.9242,4,500,2,0.1755,0.1789,1.5837,1.0899390441910777,1.096722617620335,0.7754999999999999,1.096722617620335
132,knn,4.88,14.1058,14,500,2,0.6308,0.6261,0.4406,1.3935502409050058,1.096722617620335,0.7754999999999999,1.096722617620335
133,knn,8.228,9.1927,9,500,2,0.4111,0.4025,0.676,1.1792482126423767,1.096722617620335,0.7754999999999999,1.096722617620335
134,knn,10.368,8.1593,8,500,2,0.3649,0.3578,0.7617,1.1749392,1.096722617620335,0.7754999999999999,1.096722617620335
135,knn,6.052,11.7717,12,500,2,0.5264,0.5367,0.5279,1.2951010132235088,1.096722617620335,0.7754999999999999,1.096722617620335
136,knn,8.288,9.2855,9,500,2,0.4153,0.4025,0.6693,1.1954878409686984,1.096722617620335,0.7754999999999999,1.096722617620335
137,knn,9.384,8.4397,8,500,2,0.3774,0.3578,0.7364,1.1562080977648963,1.096722617620335,0.7754999999999999,1.096722617620335
138,knn,10.628,7.9921,8,500,2,0.3574,0.3578,0.7776,1.1652032304224702,1.096722617620335,0.7754999999999999,1.096722617620335
139,knn,3.732,21.3542,21,500,2,0.955,0.9391,0.291,1.8448842417411884,1.096722617620335,0.7754999999999999,1.096722617620335
140,knn,3.7659,25.6597,26,974,2,0.8222,0.8331,0.2682,1.595535560052075,1.096722617620335,0.7754999999999999,1.096722617620335
141,knn,16.03,8.7325,9,1000,2,0.2761,0.2846,0.791,1.1056186488511761,1.096722617620335,0.7754999999999999,1.096722617620335
142,knn,15.908,8.6923,9,1000,2,0.2749,0.2846,0.7947,1.096333028484192,1.096722617620335,0.7754999999999999,1.096722617620335
143,knn,21.33,7.487,7,1000,2,0.2368,0.2214,0.9226,1.093460906832064,1.096722617620335,0.7754999999999999,1.096722617620335
144,knn,26.672,6.6133,7,1000,2,0.2091,0.2214,1.0445,1.080055357067442,1.096722617620335,0.7754999999999999,1.096722617620335
145,knn,32.19,5.9968,6,1000,2,0.1896,0.1897,1.1519,1.0759201799509108,1.096722617620335,0.7754999999999999,1.096722617620335
146,knn,38.118,5.4696,5,1000,2,0.173,0.1581,1.2629,1.0678754927101193,1.096722617620335,0.7754999999999999,1.096722617620335
147,knn,5.964,16.4234,16,1000,2,0.5194,0.506,0.4206,1.2683288985621357,1.096722617620335,0.7754999999999999,1.096722617620335
148,knn,8.156,13.1495,13,1000,2,0.4158,0.4111,0.5253,1.1875389091052975,1.096722617620335,0.7754999999999999,1.096722617620335
149,knn,9.368,11.9936,12,1000,2,0.3793,0.3795,0.576,1.1608417027800475,1.096722617620335,0.7754999999999999,1.096722617620335
150,knn,10.346,11.2776,11,1000,2,0.3566,0.3479,0.6125,1.1471043423198084,1.096722617620335,0.7754999999999999,1.096722617620335
151,knn,3.7519,38.9,39,1959,2,0.8789,0.8811,0.1949,1.702385888278117,1.096722617620335,0.7754999999999999,1.096722617620335
152,knn,15.87,12.2558,12,2000,2,0.274,0.2683,0.6202,1.0917297137723236,1.096722617620335,0.7754999999999999,1.096722617620335
153,knn,21.316,10.4088,10,2000,2,0.2327,0.2236,0.7302,1.0745794273461222,1.096722617620335,0.7754999999999999,1.096722617620335
154,knn,26.678,9.1887,9,2000,2,0.2055,0.2012,0.8272,1.0612451264325835,1.096722617620335,0.7754999999999999,1.096722617620335
155,knn,32.016,8.3699,8,2000,2,0.1872,0.1789,0.9081,1.058982557914945,1.096722617620335,0.7754999999999999,1.096722617620335
156,knn,37.383,7.7498,8,2000,2,0.1733,0.1789,0.9808,1.0595283270624056,1.096722617620335,0.7754999999999999,1.096722617620335
157,knn,5.994,22.6466,22,2000,2,0.5064,0.4919,0.3356,1.2397850092678648,1.096722617620335,0.7754999999999999,1.096722617620335
158,knn,8.249,18.0007,18,2000,2,0.4025,0.4025,0.4223,1.1560458206407758,1.096722617620335,0.7754999999999999,1.096722617620335
159,knn,9.285,17.0489,17,2000,2,0.3812,0.3801,0.4458,1.1616420368135896,1.096722617620335,0.7754999999999999,1.096722617620335
160,knn,10.289,15.773,16,2000,2,0.3527,0.3578,0.4819,1.1313211051423464,1.096722617620335,0.7754999999999999,1.096722617620335
